Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0230,C030,P0194,03-03-2021,2214,0.35
OD0231,C031,P0195,17-03-2022,2145,0.35
OD0232,C032,P0196,08-02-2022,2325,0.55
OD0233,C033,P0197,25-02-2023,2256,0.55
OD0234,C034,P0198,21-01-2022,1425,0.55
OD0235,C035,P0199,16-07-2021,2236,0.55
OD0236,C036,P0200,28-08-2022,2525,0.5
OD0237,C037,P0201,07-07-2022,2145,0.5
OD0238,C038,P0202,27-05-2022,2365,0.5
OD0239,C039,P0203,15-04-2022,1245,0.5
OD0240,C040,P0204,02-02-2021,3245,0.5
OD0241,C041,P0205,15-10-2021,1222,0.3
OD0242,C042,P0206,11-05-2021,2451,0.32
OD0243,C043,P0207,18-03-2021,2256,0.25
OD0244,C044,P0208,22-11-2022,399,0.45
OD0245,C045,P0209,19-12-2022,399,0.15
OD0246,C046,P0210,16-04-2022,399,0.33
OD0247,C047,P0211,27-08-2022,399,0.42
OD0248,C048,P0212,27-11-2021,555,0.42
OD0249,C049,P0213,10-05-2022,555,0.39
OD0250,C050,P0214,27-07-2022,555,0.39
OD0251,C051,P0214,03-08-2021,555,0.39
OD0252,C052,P0214,02-10-2022,675,0.39
OD0253,C053,P0214,12-02-2021,675,0.3
OD0254,C054,P0214,28-07-2022,675,0.3
OD0255,C055,P0215,15-07-2021,654,0.3
OD0256,C056,P0216,05-12-2022,654,0.25
OD0257,C057,P0217,25-09-2022,654,0.25
OD0258,C058,P0218,27-11-2022,654,0.3
OD0259,C059,P0219,11-04-2021,356,0.3
OD0260,C060,P0220,02-08-2021,686,0.3
OD0261,C061,P0221,02-02-2021,456,0.4
OD0262,C062,P0222,31-03-2021,516,0.4
OD0263,C063,P0223,24-03-2023,355,0.4
OD0264,C064,P0224,27-12-2021,465,0.4
OD0265,C065,P0225,06-10-2021,965,0.4
OD0266,C066,P0226,23-08-2022,1158,0.4
OD0267,C067,P0227,06-08-2022,264,0.45
OD0268,C068,P0228,21-05-2021,433,0.45
OD0269,C069,P0229,03-04-2022,562,0.45
OD0270,C070,P0230,20-05-2022,423,0.47
OD0271,C071,P0231,09-03-2022,621,0.47
OD0272,C072,P0232,21-08-2022,333,0.46
OD0273,C073,P0233,10-08-2021,236,0.46
OD0274,C074,P0234,23-11-2022,456,0.46
OD0275,C075,P0235,17-09-2022,963,0.3
OD0276,C076,P0236,15-04-2021,234,0.3
OD0277,C077,P0237,23-04-2021,456,0.3
OD0278,C078,P0238,07-02-2023,564,0.3
OD0279,C079,P0239,31-10-2021,634,0.3
OD0280,C080,P0240,04-05-2021,236,0.35
OD0281,C081,P0241,13-08-2022,444,0.35
OD0282,C082,P0242,25-07-2021,456,0.35
OD0283,C083,P0243,22-08-2022,963,0.35
OD0284,C084,P0244,24-08-2021,456,0.35
OD0285,C085,P0245,06-12-2022,1189,0.35
OD0286,C086,P0245,11-07-2022,1298,0.4
OD0287,C087,P0245,13-05-2021,1456,0.4
OD0288,C088,P0246,09-11-2022,1478,0.15
OD0289,C089,P0247,23-08-2022,256,0.15
OD0290,C090,P0248,08-12-2021,2698,0.15
OD0291,C091,P0249,01-07-2022,2364,0.35
OD0292,C092,P0250,28-06-2022,1236,0.35
OD0293,C093,P0251,10-03-2022,756,0.35
OD0294,C094,P0252,21-01-2022,326,0.35
OD0295,C095,P0253,01-02-2021,453,0.55
OD0296,C096,P0254,23-05-2022,326,0.55
OD0297,C097,P0255,22-05-2021,456,0.55
OD0298,C098,P0256,04-08-2021,675,0.55
OD0299,C099,P0257,20-11-2021,654,0.5
OD0300,C100,P0257,09-05-2022,654,0.5
OD0301,C100,P0257,08-06-2022,654,0.5
OD0302,C100,P0257,10-03-2023,654,0.5
OD0303,C100,P0257,11-01-2022,356,0.5
OD0304,C100,P0257,04-10-2021,686,0.3
OD0305,C100,P0258,20-10-2022,456,0.32
OD0306,C100,P0259,13-10-2021,516,0.25
OD0307,C100,P0260,14-10-2021,355,0.45
OD0308,C099,P0261,12-02-2022,465,0.15
OD0309,C099,P0262,29-04-2021,965,0.33
OD0310,C099,P0263,05-05-2022,1158,0.42
OD0311,C099,P0264,07-07-2022,264,0.42
OD0312,C099,P0265,23-08-2022,433,0.39
OD0313,C099,P0266,29-07-2022,562,0.39
OD0314,C099,P0267,21-01-2023,423,0.39
OD0315,C099,P0268,20-12-2022,621,0.39
OD0316,C001,P0269,08-03-2023,333,0.3
OD0317,C002,P0270,06-04-2021,236,0.3
OD0318,C003,P0271,21-06-2021,456,0.3
OD0319,C004,P0272,04-01-2021,963,0.25
OD0320,C005,P0273,31-07-2021,234,0.25
OD0321,C006,P0274,08-07-2021,456,0.3
OD0322,C007,P0274,15-03-2023,564,0.3
OD0323,C008,P0274,22-02-2023,634,0.3
OD0324,C009,P0274,10-01-2022,236,0.4
OD0325,C010,P0274,25-01-2022,444,0.4
OD0326,C011,P0275,19-11-2022,456,0.4
OD0327,C012,P0276,25-07-2021,963,0.4
OD0328,C013,P0277,09-03-2021,456,0.4
OD0329,C014,P0278,01-05-2022,1189,0.4
OD0330,C015,P0279,12-06-2022,1298,0.45
OD0331,C016,P0280,11-01-2021,1456,0.45
OD0332,C017,P0281,16-05-2022,1478,0.45
OD0333,C018,P0282,09-01-2022,256,0.47
OD0334,C019,P0283,21-11-2022,2698,0.47
OD0335,C020,P0284,01-11-2022,2364,0.46
OD0336,C021,P0285,19-09-2021,1236,0.46
OD0337,C022,P0286,20-01-2022,756,0.46
OD0338,C023,P0287,06-03-2023,326,0.3
OD0339,C024,P0288,27-11-2022,453,0.3
OD0340,C025,P0289,30-12-2022,326,0.3
OD0341,C026,P0290,26-03-2021,456,0.3
OD0342,C027,P0291,02-12-2022,675,0.3
OD0343,C028,P0292,06-11-2021,654,0.35
OD0344,C029,P0292,16-01-2022,654,0.35
OD0345,C030,P0292,16-11-2022,654,0.35
OD0346,C031,P0292,16-11-2022,654,0.35
OD0347,C032,P0293,09-01-2021,356,0.35
OD0348,C033,P0294,17-02-2022,686,0.35
OD0349,C034,P0295,29-11-2021,456,0.4
OD0350,C035,P0296,13-11-2021,516,0.4
OD0351,C036,P0297,01-11-2022,355,0.15
OD0352,C037,P0298,04-03-2023,465,0.15
OD0353,C038,P0299,15-03-2022,965,0.15
OD0354,C039,P0300,12-02-2021,1158,0.35
OD0355,C040,P0301,08-09-2021,264,0.35
OD0356,C041,P0302,20-09-2021,433,0.35
OD0357,C042,P0303,05-12-2021,562,0.35
OD0358,C043,P0304,07-05-2022,423,0.55
OD0359,C044,P0305,19-02-2021,621,0.55
OD0360,C045,P0306,02-04-2021,333,0.55
OD0361,C046,P0307,06-07-2022,236,0.55
OD0362,C047,P0308,18-10-2021,456,0.5
OD0363,C048,P0309,08-09-2022,963,0.5
OD0364,C049,P0310,23-01-2021,234,0.5
OD0365,C050,P0311,26-03-2021,456,0.5
OD0366,C051,P0312,03-03-2022,564,0.5
OD0367,C052,P0313,18-05-2021,634,0.3
OD0368,C053,P0314,30-10-2022,236,0.32
OD0369,C054,P0315,31-10-2022,444,0.25
OD0370,C055,P0316,05-05-2022,456,0.45
OD0371,C056,P0317,23-06-2021,963,0.15
OD0372,C057,P0318,05-03-2023,456,0.33
OD0373,C058,P0319,18-11-2021,1189,0.42
OD0374,C059,P0319,06-01-2023,1298,0.42
OD0375,C060,P0319,01-02-2022,1456,0.39
OD0376,C061,P0319,03-02-2023,1478,0.39
OD0377,C062,P0319,04-03-2022,256,0.39
OD0378,C063,P0319,17-01-2021,2698,0.39
OD0379,C064,P0319,16-06-2022,2364,0.3
OD0380,C065,P0320,27-07-2022,1236,0.3
OD0381,C066,P0321,23-01-2021,756,0.3
OD0382,C067,P0322,12-09-2021,326,0.25
OD0383,C068,P0323,22-03-2022,453,0.25
OD0384,C069,P0324,31-05-2022,326,0.3
OD0385,C070,P0325,18-11-2022,456,0.3
OD0386,C071,P0326,18-10-2022,456,0.3
OD0387,C072,P0327,27-09-2021,456,0.4
OD0388,C073,P0328,19-02-2023,456,0.4
OD0389,C074,P0329,24-02-2022,236,0.4
OD0390,C075,P0330,09-11-2021,996,0.4
OD0391,C076,P0331,07-04-2022,654,0.4
OD0392,C077,P0332,02-11-2022,456,0.4
OD0393,C078,P0333,02-03-2023,785,0.45
OD0394,C079,P0334,22-03-2022,365,0.45
OD0395,C080,P0334,12-05-2022,965,0.45
OD0396,C081,P0334,06-07-2022,444,0.47
OD0397,C082,P0335,11-07-2022,569,0.47
OD0398,C083,P0336,24-08-2022,475,0.46
OD0399,C084,P0337,21-02-2022,598,0.46
OD0400,C085,P0338,14-02-2022,536,0.46
OD0401,C086,P0339,16-01-2023,256,0.3
OD0402,C087,P0340,06-04-2021,456,0.3
OD0403,C088,P0341,23-06-2021,456,0.3
OD0404,C089,P0342,19-06-2022,745,0.3
OD0405,C090,P0343,23-08-2021,356,0.3
OD0406,C091,P0344,26-06-2022,1189,0.35
OD0407,C092,P0345,25-02-2022,426,0.35
OD0408,C093,P0346,02-11-2021,1126,0.35
OD0409,C094,P0347,15-12-2022,1145,0.35
OD0410,C095,P0348,09-12-2022,1235,0.35
OD0411,C096,P0349,19-02-2021,1564,0.35
OD0412,C097,P0350,22-07-2021,654,0.4
OD0413,C098,P0351,04-03-2022,854,0.4
OD0414,C099,P0352,09-01-2021,475,0.15
OD0415,C100,P0353,01-01-2023,349,0.15
OD0416,C001,P0354,09-04-2021,350,0.15
OD0417,C002,P0355,17-11-2021,351,0.35
OD0418,C003,P0356,04-10-2021,352,0.35
OD0419,C004,P0357,15-01-2021,2245,0.35
OD0420,C005,P0358,08-05-2021,2135,0.35
OD0421,C006,P0359,29-03-2021,1245,0.55
OD0422,C007,P0360,23-04-2022,2145,0.55
OD0423,C008,P0361,31-03-2021,2356,0.55
OD0424,C009,P0362,24-04-2021,2235,0.55
OD0425,C010,P0363,06-10-2022,2252,0.5
OD0426,C011,P0364,15-06-2021,2452,0.5
OD0427,C012,P0365,07-03-2022,2263,0.5
OD0428,C013,P0366,15-03-2022,2253,0.5
OD0429,C014,P0367,11-12-2021,1025,0.5
OD0430,C015,P0368,14-07-2022,1025,0.3
OD0431,C016,P0369,03-03-2021,555,0.32
OD0432,C017,P0370,01-07-2022,599,0.25
OD0433,C018,P0371,31-03-2022,555,0.45
OD0434,C019,P0372,17-03-2023,555,0.15
OD0435,C020,P0373,16-11-2022,565,0.33
OD0436,C021,P0374,21-03-2021,555,0.42
OD0437,C022,P0375,29-03-2021,999,0.42
OD0438,C023,P0376,16-03-2021,999,0.39
OD0439,C024,P0377,21-02-2022,999,0.39
OD0440,C025,P0378,02-03-2022,999,0.39
OD0441,C026,P0379,11-11-2022,1119,0.39
OD0442,C027,P0380,11-09-2021,1119,0.3
OD0443,C028,P0381,19-03-2021,1119,0.3
OD0444,C029,P0382,22-04-2022,1119,0.3
OD0445,C030,P0383,16-08-2022,985,0.25
OD0446,C031,P0384,07-07-2022,985,0.25
OD0447,C032,P0385,03-08-2022,985,0.3
OD0448,C033,P0386,29-05-2022,985,0.3
OD0449,C034,P0387,16-11-2022,985,0.3
OD0450,C035,P0388,05-01-2022,369,0.4
OD0451,C036,P0388,06-03-2023,399,0.4
OD0452,C037,P0388,30-07-2021,399,0.4
OD0453,C038,P0388,20-07-2021,399,0.4
OD0454,C039,P0388,27-08-2022,399,0.4
OD0455,C040,P0388,14-06-2021,555,0.4
OD0456,C041,P0388,13-06-2022,555,0.45
OD0457,C042,P0388,10-05-2021,555,0.45
OD0458,C043,P0389,05-06-2021,555,0.45
OD0459,C044,P0390,03-08-2021,675,0.47
OD0460,C045,P0391,14-02-2022,675,0.47
OD0461,C046,P0392,29-07-2021,675,0.46
OD0462,C047,P0393,04-01-2022,654,0.46
OD0463,C048,P0394,29-12-2022,654,0.46
OD0464,C049,P0395,09-10-2021,654,0.3
OD0465,C050,P0396,26-03-2022,654,0.3
OD0466,C051,P0397,26-10-2022,356,0.3
OD0467,C052,P0398,04-05-2022,686,0.3
OD0468,C053,P0399,03-10-2022,456,0.3
OD0469,C054,P0400,11-07-2022,516,0.35
OD0470,C055,P0401,18-02-2022,355,0.35
OD0471,C056,P0402,06-08-2022,465,0.35
OD0472,C057,P0403,31-08-2022,965,0.35
OD0473,C058,P0404,17-09-2021,1158,0.35
OD0474,C059,P0404,15-03-2021,264,0.35
OD0475,C060,P0404,12-06-2021,433,0.4
OD0476,C061,P0404,22-12-2022,562,0.4
OD0477,C062,P0404,29-06-2021,423,0.15
OD0478,C063,P0404,10-09-2022,621,0.15
OD0479,C064,P0405,29-07-2021,333,0.15
OD0480,C065,P0406,15-02-2023,236,0.35
OD0481,C066,P0407,10-10-2022,456,0.35
OD0482,C067,P0408,22-10-2022,963,0.35
OD0483,C068,P0409,28-08-2022,234,0.35
OD0484,C069,P0410,02-05-2021,456,0.55
OD0485,C070,P0411,25-06-2022,564,0.55
OD0486,C071,P0412,21-10-2022,634,0.55
OD0487,C072,P0413,09-04-2022,236,0.55
OD0488,C073,P0414,16-02-2022,444,0.5
OD0489,C074,P0415,12-10-2022,456,0.5
OD0490,C075,P0416,24-05-2021,963,0.5
OD0491,C076,P0417,05-08-2021,456,0.5
OD0492,C077,P0417,07-12-2022,1189,0.5
OD0493,C078,P0417,20-03-2022,1298,0.3
OD0494,C079,P0417,23-02-2021,1456,0.32
OD0495,C080,P0417,02-02-2022,1478,0.25
OD0496,C081,P0417,25-06-2022,256,0.45
OD0497,C082,P0418,23-04-2021,2698,0.15
OD0498,C083,P0419,22-08-2021,2364,0.33
OD0499,C084,P0420,08-04-2021,1236,0.42
OD0500,C085,P0421,30-03-2021,756,0.42
OD0501,C086,P0422,06-01-2021,326,0.39
OD0502,C087,P0423,24-11-2021,453,0.39
OD0503,C088,P0424,05-08-2022,326,0.39
OD0504,C089,P0425,26-04-2021,456,0.39
OD0505,C090,P0426,09-12-2022,675,0.3
OD0506,C091,P0427,13-09-2021,654,0.3
OD0507,C092,P0428,22-11-2021,654,0.3
OD0508,C093,P0429,17-01-2022,654,0.25
OD0509,C094,P0430,12-01-2022,654,0.25
OD0510,C095,P0431,15-07-2021,356,0.3
OD0511,C096,P0432,25-11-2022,686,0.3
OD0512,C097,P0433,17-05-2022,456,0.3
OD0513,C098,P0434,08-02-2021,516,0.4
OD0514,C099,P0434,27-07-2022,355,0.4
OD0515,C100,P0434,19-04-2021,465,0.4
OD0516,C001,P0434,13-02-2021,965,0.4
OD0517,C002,P0434,22-01-2023,1158,0.4
OD0518,C003,P0434,07-08-2022,264,0.4
OD0519,C004,P0434,19-01-2023,433,0.45
OD0520,C005,P0434,11-06-2021,562,0.45
OD0521,C006,P0434,15-04-2022,423,0.45
OD0522,C007,P0434,14-09-2021,621,0.47
OD0523,C008,P0435,06-05-2022,333,0.47
OD0524,C009,P0436,10-01-2021,236,0.46
OD0525,C010,P0437,12-03-2021,456,0.46
OD0526,C011,P0438,08-09-2021,963,0.46
OD0527,C012,P0439,31-01-2023,234,0.3
OD0528,C013,P0440,19-01-2021,456,0.3
OD0529,C014,P0441,27-03-2023,564,0.3
OD0530,C015,P0442,12-02-2021,634,0.3
OD0531,C016,P0443,21-04-2022,236,0.3
OD0532,C017,P0444,16-01-2022,2245,0.35
OD0533,C018,P0445,14-01-2021,2235,0.35
OD0534,C019,P0446,11-07-2022,2145,0.35
OD0535,C020,P0447,13-05-2022,2145,0.35
OD0536,C021,P0448,25-05-2022,2356,0.35
OD0537,C022,P0449,19-12-2022,2245,0.35
OD0538,C023,P0450,05-05-2022,2451,0.4
OD0539,C024,P0451,12-10-2022,2145,0.4
OD0540,C025,P0452,01-12-2021,2245,0.15
OD0541,C026,P0453,17-03-2022,2698,0.15
OD0542,C027,P0454,22-04-2021,1215,0.15
OD0543,C028,P0455,08-03-2023,2245,0.35
OD0544,C029,P0456,22-11-2021,1245,0.35
OD0545,C030,P0457,07-08-2022,3456,0.35
OD0546,C031,P0458,14-12-2022,3654,0.35
OD0547,C032,P0459,05-01-2021,4563,0.55
OD0548,C033,P0460,13-11-2021,3214,0.55
OD0549,C034,P0461,21-06-2021,4123,0.55
OD0550,C035,P0462,08-03-2023,3214,0.55
OD0551,C036,P0462,11-12-2021,654,0.5
